SKU,QTD,LINKS_SHOPEE
4582451683965,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4582451683965_20260126_164504_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4582451683965_20260126_164504_VERSO.png
4901301415363,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4901301415363_20260126_170820_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4901301415363_20260126_170820_VERSO.png
4902111782799,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4902111782799_20260126_164602_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4902111782799_20260126_164602_VERSO.png
4909978102579,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4909978102579_20260126_165617_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4909978102579_20260126_165617_VERSO.png
4909978102586,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4909978102586_20260126_165848_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4909978102586_20260126_165848_VERSO.png
4971710577754,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4971710577754_20260126_170652_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4971710577754_20260126_170652_VERSO.png
4987107624796,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987107624796_20260126_164959_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987107624796_20260126_164959_VERSO.png
4987241168248,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241168248_20260126_170250_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241168248_20260126_170250_VERSO.png
4987241173242,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241173242_20260126_164903_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241173242_20260126_164903_VERSO.png
4987241189618,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241189618_20260126_170351_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241189618_20260126_170351_VERSO.png
4987241198764,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241198764_20260126_170031_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241198764_20260126_170031_VERSO.png
4987241198849,2,https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241198849_20260126_170145_MAIN.png;https://raw.githubusercontent.com/paidemuitos/fotos-loja/main/prontos/4987241198849_20260126_170145_VERSO.png
